Unnamed: 0,FAKP_F2X_chipD_grid_fly_001_window_9_no-flag,FAKP_F2X_chipD_grid_fly_001_window_2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_5_no-flag,FAKP_F2X_chipD_grid_fly_001_window_4_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_1_no-flag
window,9,2,6.2,5,4,6.1,1
Num. patterns/Num. hits,31892/22196,31892/18242,31892/22177,31892/21455,31892/22813,31892/22177,31892/13360
Indexed patterns/Indexed crystals,17602/23782,16936/23069,10011/12671,17242/23437,18765/25046,10231/13194,12446/16487
CC* intersects with Rsplit at,-1000,1.506,-1000,1.639,-1000,-1000,-1000
Resolution,90.80 - 1.50 (1.53 - 1.5),91.74 - 1.50 (1.53 - 1.5),91.51 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),91.55 - 1.50 (1.53 - 1.5),91.01 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5)
Rsplit (%),9.53 (49.5),16.66 (97.44),18.24 (78.4),10.83 (64.87),14.77 (49.18),14.33 (65.42),13.15 (65.08)
CC1/2,0.9864154 (0.741),0.9538591 (0.444),0.9453892 (0.53),0.9502409 (0.152),0.9622271 (0.744),0.9665210 (0.635),0.9707568 (0.632)
CC*,0.9965747 (0.923),0.9881218 (0.784),0.9858641 (0.832),0.9871604 (0.513),0.9903282 (0.924),0.9914512 (0.881),0.9925530 (0.88)
CCano,,,,,,,
SNR,9.064579 (2.06),5.337495 (1.07),5.406901 (1.33),8.858039 (2.09),6.787458 (1.9),6.478831 (1.59),6.644803 (1.64)
Completeness (%),100.002154 (100.0),99.958931 (99.62),100.002076 (100.0),100.002139 (100.0),100.002071 (100.0),99.995724 (99.87),99.995709 (100.0)
Multiplicity,178.548275 (66.0),77.150188 (23.5),62.130193 (26.2),177.036322 (61.1),103.780325 (46.4),92.118522 (31.0),102.623147 (33.4)
Total Measurements,8288568,3755594,2992625,8276271,5011033,4308936,4782957
Unique Reflections,46422 (2239),48679 (2369),48167 (2348),46749 (2277),48285 (2358),46776 (2285),46607 (2267)
Wilson B-factor,17.35,21.98,18.17,17.41,19.08,17.42,18.75
flag,no-flag,no-flag,no-flag,no-flag,no-flag,no-flag,no-flag
