,FAKP_F2X_chipD_grid_fly_001_window_6.2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_5_no-flag,FAKP_F2X_chipD_grid_fly_001_window_2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_4_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_9_no-flag
Num. patterns/hits,31892/21952,31892/21202,31892/17933,31892/13140,31892/22445,31892/21953,31892/21991
Indexed patterns/crystals,9963/12574,17105/23235,16776/22866,12344/16361,18554/24761,10154/13067,17495/23594
CC* intersects with Rsplit at,1.483,-1000,1.504,-1000,-1000,-1000,-1000
Resolution,45.76 - 1.50 (1.55 - 1.5),69.38 - 1.50 (1.55 - 1.5),45.87 - 1.50 (1.55 - 1.5),69.27 - 1.50 (1.55 - 1.5),71.35 - 1.50 (1.55 - 1.5),45.51 - 1.50 (1.55 - 1.5),69.16 - 1.50 (1.55 - 1.5)
Rsplit (%),18.57 (75.52),10.32 (45.3),17.02 (84.76),13.57 (59.75),15.3 (46.08),14.3 (62.03),9.88 (43.27)
CC1/2,0.9441 (0.54),0.9827 (0.771),0.9466 (0.483),0.9733 (0.652),0.9576 (0.755),0.9695 (0.655),0.9841 (0.779)
CC*,0.9855 (0.837),0.9956 (0.933),0.9862 (0.807),0.9932 (0.889),0.9891 (0.927),0.9922 (0.89),0.996 (0.936)
CCano,,,,,,,
SNR,5.2809 (1.38),8.7211 (2.27),5.2447 (1.17),6.4914 (1.77),6.6806 (2.02),6.381 (1.69),8.9138 (2.36)
Completeness (%),99.9979 (99.98),100.0 (100.0),99.961 (99.69),99.9936 (99.98),100.0 (100.0),99.9979 (99.98),100.0 (100.0)
Multiplicity,58.9535 (26.8),164.865 (63.8),73.1913 (24.6),98.0116 (36.3),101.305 (48.8),86.6125 (32.3),177.3779 (73.6)
Total Measurements,2839436,7706944,3562879,4567829,4891311,4051387,8233881
Unique Reflections,48164 (4715),46747 (4590),48679 (4767),46605 (4569),48283 (4735),46776 (4592),46420 (4563)
Wilson B-factor,18.53,17.34,22.15,18.86,19.18,17.6,17.49
Rfree/Rwork,0.1859/0.1585,0.1661/0.1315,0.1873/0.1633,0.1780/0.1409,0.1770/0.1468,0.1774/0.1432,0.1677/0.1368
Refinement resolution cut-off,1.5,1.5,1.5,1.5,1.5,1.5,1.5
